model_name,temperature,agent,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskID,name,TaskOrder,Agent,nObjects,userSetting
gpt-4o-2024-08-06,1,naive,The Quiet Reading Relay,"[{'name': 'Book', 'quantity': 5}, {'name': 'Sofa', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}]",Participants take turns reading a book quietly on the sofa and complete a short quiz afterward to test retention and comprehension.,"Arrange the books on the sofa. The clock is placed to time each reading session, lasting 10 minutes per participant. Each participant selects a book, reads for 10 minutes, then places it back for the next reader.",Maximize comprehension and retention of the book content within the allotted time.,"After reading, participants answer a 5-question quiz about the book's content. Each correct answer scores 2 points. The participant with the highest comprehension score wins. Tiebreakers go by who answered the most questions first.","['Book', 'Sofa', 'Clock']",11,few_dummy5_0.0,1,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Potted Plant Pictionary,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}]","Participants draw and guess different plants or plant-related items, promoting creativity and quick thinking.","Place the potted plant on the tray in the center of the room. Participants sit around with the notebook and pen nearby. Each takes turns drawing a plant-related clue in the notebook without words, while others guess what's drawn.",Draw plant-related items quickly and let others guess correctly within a time limit.,"Each correct guess provides the guesser 2 points. If the drawing was guessed correctly within one minute, the artist receives 1 point. The player with the highest total score at the end of several rounds wins.","['Potted plants', 'Pen', 'Notebook', 'Tray']",12,few_dummy5_0.0,2,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Quick Draw Doodles,"[{'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]","Create quick doodles based on prompts within a limited timeframe, competing for creativity and accuracy.","Sit comfortably at one of the desks with your pen and notebook ready. Set the notebook open to a clean page. Use a clock or a makeshift timer to keep track of the session time, say 2 minutes per doodle.","The goal is to create as many doodles as possible based on given topics within the set time period, showcasing creativity and speed.","- Each doodle completed within the time limit earns 3 points.
- Creativity and adherence to the topic can earn up to an additional 2 points per doodle, judged subjectively, perhaps by an impartial participant or yourself if alone.
- A total score of 10 or more across several rounds is considered excellent.","['Pen', 'Notebook']",13,few_dummy6_0.0,0,GPT-4o,2,dummy_few
gpt-4o-2024-08-06,1,naive,Room Mini-Golf,"[{'name': 'Broom', 'quantity': 1}, {'name': 'Cup', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]",Play a game of mini-golf by trying to sweep a waste paper ball into a cup using the broom.,Place the cup at one end of the rug to serve as the 'hole.' Use the broom as your golf club and the waste paper ball as the golf ball. Stand at the opposite end of the rug and try to 'putt' the waste paper ball into the cup using the broom.,The aim is to putt the ball into the cup with the least number of strokes.,"- Each stroke is counted as one point. Fewer points indicate a better performance.
- Bonus: Hole-in-one (0 additional strokes) gives you a negative 1 point (a good deduction).","['Broom', 'Cup', 'Waste paper ball', 'Rug']",14,few_dummy6_0.0,1,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Literary Tea Time Quiz,"[{'name': 'Kettle', 'quantity': 1}, {'name': 'Cup', 'quantity': 1}, {'name': 'Book', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]","Enjoy a literary-themed quiz while having tea, testing your knowledge based on random book excerpts.",Boil water using the kettle for your cup of tea. Choose one book randomly and open it to a random page. Use the pen and notebook to write down a question or topic inspired by what you read in a paragraph or on a page. Answer the question from memory or flip through the book if needed.,The objective is to create questions of varying difficulty and answer them correctly to earn points.,"- 2 points for each correctly answered question on the first try.
- 1 point if a partial answer requires checking the book.
- Subtract 1 point for incorrect answers with book consultation.
- 10 points achieved marks you as a literary genius in this session.","['Kettle', 'Cup', 'Book', 'Pen', 'Notebook']",15,few_dummy6_0.0,2,GPT-4o,5,dummy_few
gpt-4o-2024-08-06,1,naive,Book Balance Challenge,"[{'name': 'Books', 'quantity': 2}, {'name': 'Tray', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",Participants try to balance a stack of books on their head while walking a distance in the room with a tray in hand.,"Arrange a clear walking path across the room, ideally from the desk to the sofa. Place one book on the participant's head and have them hold the tray. The participant must then walk from the desk to the sofa while maintaining the book balance and carrying the tray.",The goal is to balance the book on the head without dropping it while carrying the tray across the room.,Successfully crossing the room without dropping the book or tray awards 10 points. Dropping the book while maintaining the tray awards 5 points. Dropping both results in 0 points.,"['Book', 'Tray', 'Chair']",16,few_dummy7_0.0,0,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Dummy Art Critique,"[{'name': 'Dummy', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]","Participants engage in an imaginative art critique, discussing and evaluating the paintings with the dummy, recording their insights in a notebook.","Position the dummy seated in front of the paintings displayed in the room. The participant uses the notebook and pen to jot down critiques, thoughts, and scores for each painting while 'discussing' their opinions with the dummy.","The goal is to creatively engage with art critique, expressing detailed opinions on the paintings in writing.","Creativity of descriptions is scored out of 10 points per painting. Effort put into filling the notebook can be rated by the participant (or another person if available) for overall enthusiasm, out of 20 points.","['Dummy', 'Paintings', 'Notebook', 'Pen']",17,few_dummy7_0.0,1,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Cup Stack Tower,"[{'name': 'Cups', 'quantity': 2}, {'name': 'Kettle', 'quantity': 1}, {'name': 'Bowl', 'quantity': 2}, {'name': 'Waste paper ball', 'quantity': 1}]","Build a tower using cups and bowls, which must support the weight of the waste paper ball on top. Use the kettle as a timer.","Place the kettle on the desk as the starting point. Using the cups and bowls, build a stable tower that can support the waste paper ball at its peak. Pour water into the kettle and use its boiling time (roughly 3-4 minutes, if functional) as your timer for completing the task.","The goal is to construct the tallest, most stable tower possible within the time limit, which supports the waste paper ball without collapsing.","Each bowl or cup successfully placed adds 2 points to your score. If the waste paper ball stays on the tower for 10 seconds after construction, award an additional 5 points. Deduct 1 point for each piece that falls off the tower post completion.","['Cup', 'Kettle', 'Bowl', 'Waste paper ball']",18,few_dummy7_0.0,2,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Creative Table Bowling,"[{'name': 'Tray', 'quantity': 1}, {'name': 'Bowl', 'quantity': 4}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Chair', 'quantity': 4}, {'name': 'Desk', 'quantity': 1}]",Create a mini bowling game on a desk using bowls as pins and a waste paper ball as the bowling ball.,"Place the desk against a wall to ensure stability. Arrange 4 bowls at one end of the desk in a triangular formation to mimic bowling pins. Stand a chair at the opposite end of the desk to serve as the ""bowling lane"". Use the tray to hold the waste paper ball before rolling. Sit on the chair, aiming the waste paper ball at the bowls to “bowl”.",Knock over as many bowls as possible in three attempts.,Each knocked-over bowl earns 1 point. A perfect score is 4 points per round. Play three rounds; the player with the highest total score wins.,"['Tray', 'Bowl', 'Waste paper ball', 'Chair', 'Desk']",19,few_dummy8_0.0,0,GPT-4o,5,dummy_few
gpt-4o-2024-08-06,1,naive,Art Critic Reading Escape,"[{'name': 'Paintings', 'quantity': 2}, {'name': 'Book', 'quantity': 1}, {'name': 'Lamp', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]",Combine art observation with reading to create a themed escape from everyday stress by pairing books with paintings in assigned time slots.,"Prop one painting against the wall, ensuring it is highly visible, place it on one side of the rug. Set the second painting next to the first, with some space in between to differentiate themes. Place the pillow on the rug for comfortable seating positioned to view both paintings. Set up the lamp nearby to ensure good lighting. Choose a book and read one chapter or a section that inspires connection with the visuals of one or both paintings.",Develop creative insights or a theme by relating the visual elements of the paintings with the reading material.,"Rate personal insight on a scale from 1 (no connection) to 10 (profound connection) at the end of the session. Each session is individually scored, allowing personal growth over repeated activities.","['Paintings', 'Book', 'Lamp', 'Pillow', 'Rug']",20,few_dummy8_0.0,1,GPT-4o,5,dummy_few
gpt-4o-2024-08-06,1,naive,Memory Match Challenge,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Books', 'quantity': 5}, {'name': 'Clock', 'quantity': 1}]","Test and improve memory skills by rapidly memorizing book titles, then recalling them without looking.",Line up 5 books on a desk or a cleared space. Open the notebook to a blank page and have the pen ready. Use the clock to set a 2-minute timer for memorization time.,Memorize the titles of all the books in the given time and accurately write them down afterward.,Each correct book title memorized and written counts as 1 point. Maximum score of 5 points per round. Set personal bests over multiple rounds by reducing memorization time.,"['Notebook', 'Pen', 'Book', 'Clock']",21,few_dummy8_0.0,2,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Tissue Toss Target,"[{'name': 'Tissue', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}]","Compete in a fun and simple tossing game, where you aim to land a waste paper ball onto a tray from a distance using a tissue as a slingshot.","Place the tray on the seat of a chair, situated about 4-5 feet away from the designated tossing line. The participant stands behind the tossing line with the tissue stretched out, holding the waste paper ball in it ready to launch. Use the tissue as a makeshift slingshot by gently pulling it back and releasing it to launch the waste paper ball towards the tray.",The goal is to successfully land the waste paper ball on the tray using the tissue as a slingshot.,"Each successful toss that lands the waste paper ball on the tray scores 3 points. If the ball lands on the chair but not in the tray, it scores 1 point. The player has 5 attempts, and the highest total score out of these attempts wins.","['Tissue', 'Waste paper ball', 'Chair', 'Tray']",22,few_dummy9_0.0,0,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Guess the Time Challenge,"[{'name': 'Clock', 'quantity': 1}, {'name': 'Sofa', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}]",Test your ability to accurately guess elapsed time without the aid of a visible clock or watch.,"Place the Clock on a Desk but face it away from yourself, so you cannot see the time. Sit comfortably on the Sofa with the Waste paper ball on your lap. Start the Timer by saying ""Go"" and try to guess an exact minute, at which point you toss the Waste paper ball into the Trash can, signaling your guess.","The goal is to throw the Waste paper ball into the Trash can exactly one minute after starting the challenge, without looking at the Clock.","Direct hit at exactly 60 seconds earns you 10 points. Each second off from 60 seconds subtracts 1 point from the score (e.g., if you toss the paper ball at 58 or 62 seconds, you earn 8 points, and so on). Scores can be negative if the guess is far off.","['Clock', 'Sofa', 'Waste paper ball']",23,few_dummy10_0.0,0,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Artistic Storytime Puzzle,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Book', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}]",Create a creative story that combines elements from a book and prompts from visual art.,Choose one Book and read a random page. Sit at a Desk and examine the contents of the two Paintings displayed around you. Use the Notebook and Pen to write a short story or scene that incorporates an aspect of both the selected Book’s plot and imagery drawn from both Paintings.,The goal is to craft an imaginative narrative that cohesively blends literary and visual components from available items.,"Assign a subjective score based on creativity, coherence, and how well elements of the Book and Paintings are integrated, rated on a scale from 1 to 10. Additional peer review (if the other person is present in the room) can provide a second opinion score.","['Notebook', 'Pen', 'Book', 'Paintings']",24,few_dummy10_0.0,1,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Plant Water Balance Game,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Bowl', 'quantity': 4}, {'name': 'Broom', 'quantity': 1}, {'name': 'Cup', 'quantity': 2}]",A balancing and precision game where watering plants requires strategic water transfers between bowls and cups.,"Arrange the four Bowls around the Potted plants, filling them with different levels of water. Use two Cups to transfer water from the Bowls to the Potted plants with limited spills. The Broom is placed to mark the starting line from where to pour into the Cups.","The goal is to transfer a specific amount of water (e.g., one Cup's worth) into the plant pot as cleanly as possible, without directly pouring from Bowl to plant.","Each direct spill while transferring subtracts 1 point. Successfully reaching the exact water target scores 10 points. Measure any excess or shortage in the Cup at the plant's base to adjust scores, losing 1 point per excess or shortage unit.","['Potted plants', 'Bowl', 'Broom', 'Cup']",25,few_dummy10_0.0,2,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Rug Accuracy Challenge,"[{'name': 'Rug', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}]","The participant must throw a waste paper ball onto the rug from various distances, attempting to land it as close to the center as possible.","Lay the rug flat on the floor. Mark the center of the rug as the target. The participant stands at a designated starting line 3 meters away and throws the waste paper ball, attempting to land it on the center of the rug. After each throw, the starting line is moved back by 1 meter, up to 5 meters in total.",The objective is to land the waste paper ball as close to the center of the rug as possible from each distance increment.,"Scoring is based on proximity to the center. Landing inside the bullseye (center circle) scores 10 points, inside the inner circle scores 5 points, and on the rug outside the inner circle scores 1 point. Accumulate the points over three rounds to determine the final score.","['Rug', 'Waste paper ball']",26,few_dummy11_0.0,0,GPT-4o,2,dummy_few
gpt-4o-2024-08-06,1,naive,Newspaper Toss Target,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",Fold the newspaper into a ball and toss it into the trash can from a seated position on a chair.,Place the chair 2 meters away from the trash can. Sit in the chair and fold the newspaper into a compact ball. The objective is to accurately toss the newspaper ball into the trash can while seated.,Successfully toss the newspaper ball into the trash can as many times as possible within a limited number of attempts.,Each successful toss into the trash can scores 5 points. Perform three sets of 5 attempts to achieve the highest possible score of 75 points.,"['Newspaper', 'Trash can', 'Chair']",27,few_dummy11_0.0,1,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Creative Cup Landmarks,"[{'name': 'Cup', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]","Using creativity, rearrange the cups to represent famous landmarks, then sketch the arrangement in the notebook.","Place the two cups on a desk. Use the pen and notebook to record sketches and thoughts about the arrangements. Participants use the cups to mimic famous world landmarks (e.g., Eiffel Tower or Leaning Tower of Pisa) by stacking, placing, or angling them creatively. Each configuration is sketched in the notebook.",The aim is to come up with and sketch the most inventive renditions of famous landmarks using just the two cups.,Each creative landmark design is rated from 1 to 5 for both creativity and resemblance to the actual landmark. Scores are recorded as a combined total out of 10 per design. Up to three designs can be attempted for a maximum score of 30.,"['Cup', 'Notebook', 'Pen']",28,few_dummy11_0.0,2,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Newspaper Target Toss,"[{'name': 'Chair', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Newspaper', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]","Players aim to toss a waste paper ball into an open trash can, utilizing a chair as a barrier and the newspaper for reference points.","Place the trash can at one end of the room. Position a chair on its side about halfway between the player and the trash can, acting as an obstacle. The newspaper is spread out between the chair and the player, serving as a boundary or aiming guide. The player starts from a designated spot 3 steps back from the newspaper.","Successfully toss the waste paper ball into the trash can, overcoming the chair obstacle and using the newspaper as a strategic aiming guide.","Each successful toss into the trash can scores 5 points. If the paper ball touches any part of the paper during its flight, an additional 2 points are awarded. Maximum score per round is 7 points. Play over five rounds and total the points to determine the winner.","['Chair', 'Waste paper ball', 'Newspaper', 'Trash can']",29,few_dummy12_0.0,0,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Creative Painting Storytelling,"[{'name': 'Paintings', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Craft a narrative inspired by features and elements you find on the paintings available in the room.,"Set the two paintings in front of where you’ll be seated comfortably. Use the notebook and pen to draft a story, letting each painting contribute visual elements or themes.",Develop an imaginative short story by interpreting and incorporating themes and elements visible in each painting as inspiration.,"Evaluate the story on a 1-10 scale based on creativity, how well the art is described through storytelling, and the cohesiveness of the narrative. A higher score indicates a better integration of the visuals into the story.","['Paintings', 'Notebook', 'Pen']",30,few_dummy12_0.0,1,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Book Bingo Challenge,"[{'name': 'Book', 'quantity': 5}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Search through a selection of books to complete a bingo sheet comprising different word categories.,"Choose one of the five books to start. Create a bingo grid in your notebook with specific word categories (e.g., animal, food, place, feeling). Use the pen to fill in the grid by locating fitting words from the books.","Be the first to fill a row, column, or diagonal on the bingo card by finding words in the books that fit the categories.","Grant 10 points for completing a row, 15 for a column, and 20 for a diagonal. Additional points are awarded for word uniqueness: 1 point per unique word not appearing in any other row/column/diagonal.","['Book', 'Notebook', 'Pen']",31,few_dummy12_0.0,2,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Book Tower Challenge,"[{'name': 'Book', 'quantity': 5}, {'name': 'Desk', 'quantity': 1}, {'name': 'Pillow', 'quantity': 2}]","Create a tower using books, balancing it on a desk, and attempt to make it as tall as possible without collapsing.","Set up one of the desks on the rug for stability. Place the pillows around the desk for cushioning in case books fall, to prevent damage and ensure safety. Stack the books one by one on the desk to form a tower, balancing them carefully to keep the structure stable.",The goal is to build the tallest possible book tower that can stand independently for at least 10 seconds without toppling over.,Score points based on the height and stability of the tower: - 1 point per book successfully stacked. - A bonus of 5 points if the tower stands for 10 seconds. - Deduct 1 point for every time the tower falls before reaching 10 seconds. Max possible score is 10 points (5 books + 5 stability bonus).,"['Book', 'Desk', 'Pillow']",32,few_dummy13_0.0,0,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Paper Toss Challenge,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",The challenge involves tossing a waste paper ball into a trash can from a set distance while seated.,"Place the trash can approximately 8 feet from a chair. Sit on the chair with the waste paper ball in hand. Adjust the positioning of the trash can slightly to increase difficulty, such as around the corner of a desk.",The objective is to successfully toss the paper ball into the trash can from the seated position.,Scoring is based on the number of successful tosses out of ten attempts. Each successful shot counts as 1 point. A perfect score is 10 points.,"['Waste paper ball', 'Trash can', 'Chair']",33,few_dummy14_0.0,0,GPT-4o,3,dummy_few
