taskName,taskDescription,detailedSetting,goalSetting,scoringSystem,neededObjectsData,PROLIFIC_PID,nObjects,ObjectsData,TaskOrder,userSetting,sbj,TaskID,ValidTaskID
Shotmaster,The task is for myself and the other person to shoot various items from a distance and to try and get them to land in the trash can. The trash can will be on top of the table and the rug will be used to ensure both players are the same distance away from the trash can target. The game is timed in that once each item is thrown once if it doesn't land in the trashcan the player has to retrieve each item that missed and place them at the foot of the mat and start again. The winner gets all items in the trash can in the shortest amount of time.,The trash can is placed onto one of the tables.  The rug is then placed a few meters away from the table and each of the other items (excluding the clock which is used as a timer) is placed at the foot of the rug.,"The goal is throw each item so that it lands in the trash can. If an item lands in the trash the player can move to the next item. If it misses then the player must move to the next item. When all items have been thrown once, the player must retrieve any that missed and set back up on the mat and start again. This process is repeated until the player gets all of the items in the trashcan. The items thrown are the tennis ball, the basket ball, the paper ball, the pillow and the die. The other player times the player playing the game.",The player who gets all item in the trashcan in the shortest time is the winner. The scoring system is based on the time.,"[{'id': 12, 'name': 'Trash can', 'count': 1}, {'id': 2, 'name': 'Basketball', 'count': 1}, {'id': 6, 'name': 'Tennis ball', 'count': 1}, {'id': 23, 'name': 'Waste paper ball', 'count': 1}, {'id': 18, 'name': 'Rug', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}, {'id': 28, 'name': 'Pillow', 'count': 1}, {'id': 4, 'name': 'Dice', 'count': 1}, {'id': 10, 'name': 'Clock', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}]",88,10,"['Trash can', 'Basketball', 'Tennis ball', 'Waste paper ball', 'Rug', 'Desk', 'Pillow', 'Dice', 'Clock', 'Other people']",0,human_many,88,165,159
Have a rest and relax,Myself and the other person will make a cup of tea and sit on the sofa and chat whilst watching something together on the TV.,The kettle and the cup will be set up on the table and I will use them to make a cup of tea for myself. I will then sit on the sofa next to the other person and we will switch on the TV.,To spend some time with the other person and to take a break and relax.,"The longer we can sit on the sofa, the more relaxed we will be.","[{'id': 19, 'name': 'Sofa', 'count': 1}, {'id': 13, 'name': 'Kettle', 'count': 1}, {'id': 32, 'name': 'Cup', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}, {'id': 21, 'name': 'Tray', 'count': 1}, {'id': 22, 'name': 'TV', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}]",88,7,"['Sofa', 'Kettle', 'Cup', 'Other people', 'Tray', 'TV', 'Desk']",1,human_many,88,166,160
Treadmill ball bouncing task,Myself and the other person will take a turn on the treadmill.  We each have a maximum of 3 minutes (timed by the clock) and we have to walk or run the longest distance we can in the 3 minutes whilst throwing the tennis ball against the wall and catching it on the rebound. If the person doesn't catch the ball the game is up and their distance is recorded at that point. Each person will not know how the other person did when starting their own task.,"The treadmill will be situated on the rug, the clock will be on the floor next to the treadmill and the ball will be in the players hand when they start. The treadmill must be situated near a wall so that a ball can be thrown and caught when it bounces back.","The goal is to go as fast as you can but still comfortably catching and rethrowing the returning ball. If you don't catch it, your time and distance recording is up. The maximum time you can go for is 3 minutes.",The scoring system is the distance you managed to go on the treadmill in the 3 minutes (or less if you dropped the ball). The winner goes the longest distance.,"[{'id': 7, 'name': 'Treadmill', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}, {'id': 10, 'name': 'Clock', 'count': 1}, {'id': 18, 'name': 'Rug', 'count': 1}, {'id': 6, 'name': 'Tennis ball', 'count': 1}]",88,5,"['Treadmill', 'Other people', 'Clock', 'Rug', 'Tennis ball']",2,human_many,88,167,161
trash can basketball,Each player will take turns throwing the paper ball into the trash can. players will have 50 attempts each.,"The trash can be placed against the wall approximately 6 feet from either person. Players will then take turns to throw the ball into the bin, they will have 50 attempts each.","The goal of the task is to get some light exercise whilst also lifting the mood of the contestants who are alone together in a room, the task aims to enhance the player's mood and create a warm atmosphere in the room.","Players will receive 2 points for every made basket and 0 points for every missed basket.
The winner will be the player with the most made baskets out of 50 attempts.","[{'id': 12, 'name': 'Trash can', 'count': 1}, {'id': 23, 'name': 'Waste paper ball', 'count': 1}]",147,2,"['Trash can', 'Waste paper ball']",0,dummy_few,147,304,294
Guessing the time elapsed,"In this task  each player will attempt to count 60 seconds, this task aims to get as close as possible to the clocks measure of sixty seconds."," A clock will be placed on the ground, and each player will then have one attempt to count out sixty seconds verbally, the game starts when the player states he is ready, the other player starts the clock and the game begins.",The goal of this task is mental stimulation by way of light cognitive testing.,The scoring system is the player who counts closest to 60 seconds wins the challenge.,"[{'id': 10, 'name': 'Clock', 'count': 1}]",147,1,['Clock'],1,dummy_few,147,305,295
pillow chairs olympics,"In this task both players will attempt to throw the player and land it on the chair, player's are awarded 3 points for every pillow that lands on the chair and will receive -1 point for any pillow thrown which does not land on the chair. Players will have 10 attempts each",Both players will stand at a point 7 feet from a chair placed 1 foot from the wall and will thrown ten pillows each. players will throw ten pillows consecutively. ,The goal of this task is to bond the players together by adding a fun task they will enjoy and   will get some light exercise along with some much needed mental stimulation.,"Players are awarded 3 points for very pillow which successfully lands on the chair.
Players lose a point for every pillow which misses or falls off the chair.The player with the most points win the challenge.","[{'id': 31, 'name': 'Chair', 'count': 1}, {'id': 28, 'name': 'Pillow', 'count': 1}]",147,2,"['Chair', 'Pillow']",2,dummy_few,147,306,296
Alarm clock,The person uses the alarm clock to wake up early in the morning.,The alarm clock is rested on a bedside table. The alarm clock has a touch screen to set the time of day you want to wake up. The alarm clock will continuously make a beep until the person wakes up at their requested time.,To wake up from the alarm clock.,30,"[{'id': 10, 'name': 'Clock', 'count': 1}]",180,1,['Clock'],0,dummy_few,180,334,321
Making a tea.,In this task the player uses a kettle to make a cup of boiling tea.,"The kettle is in the kitchen, the player takes a cup and a spoon and presses the on switch on the kettle. While waiting, the player grabs the milk from the fridge and a tea bag. The player notices the kettle is boiled as steam is flowing from it.
The player pours the boiling water into the cup along with the milk sugar and tea. ",Making a cup of tea.,10,"[{'id': 13, 'name': 'Kettle', 'count': 1}]",180,1,['Kettle'],1,dummy_few,180,335,322
Relaxing on the sofa,In this task the player relaxes on the sofa.,"IN a warmly lit room with a fireplace, the player finds a sofa to relax and nap in.",The goal is to relax.,The participate can rate their level of relaxation. ,"[{'id': 19, 'name': 'Sofa', 'count': 1}]",180,1,['Sofa'],2,dummy_few,180,336,323
Cup ball,"Two players take turns at trying to throw a paper ball into the cup. Each person gets five turns each, the winner being the person to get the paper ball into the cup the most times.","Both participants stand 8 foot away from the cup that is placed on the desk. One player takes their turn at five attempts to throw the ball in the cup, the other player keeps count of how many times the other can get the ball in the cup. The other player also ensures that the rules aren't broken, for example, if the opposing player tries to get closer to the cup. Once the first player has completed their five turns, the other player takes their five. ",The goal is to to establish who can get the paper ball into the cup the most times after five attempts at throwing it. ,"Each time a player successfully gets the ball into the cup, this counts as one point. The player with the most points after each player has taken their five attempts is the winner.","[{'id': 32, 'name': 'Cup', 'count': 1}, {'id': 23, 'name': 'Waste paper ball', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}]",241,3,"['Cup', 'Waste paper ball', 'Desk']",0,human_many,241,461,444
Grabbing headlines,Two players take a turn each at making note of as many headlines as they can from a newspaper in one minute. ,"The first player takes a seat on the chair at the desk, they have one minute to write down as many headlines from the newspaper as they can, without making any spelling mistakes or shortening the word count. The other player keeps the time using the clock and then takes their turn. The player with the most headlines at the end of each minute is the winner.",The goal is to establish who can identify and make note of the most headlines from a newspaper within one minute.,The person with the most headlines by the end of their minute is the winner. ,"[{'id': 1, 'name': 'Other people', 'count': 1}, {'id': 27, 'name': 'Pen', 'count': 1}, {'id': 16, 'name': 'Notebook', 'count': 1}, {'id': 15, 'name': 'Newspaper', 'count': 1}, {'id': 31, 'name': 'Chair', 'count': 1}, {'id': 10, 'name': 'Clock', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}]",241,7,"['Other people', 'Pen', 'Notebook', 'Newspaper', 'Chair', 'Clock', 'Desk']",1,human_many,241,462,445
Bowling blocks,Two players compete to knock over five building blocks.,"The building blocks are set up to create a triangular structure, ten feet away from the players. Each player gets three attempts at knocking over every block using the tennis ball. ","The goal is for the player to knock over the blocks successfully. Each person gets three consecutive attempts, the player who successfully knocks over the blocks the most times with the tennis ball is the winner. ","The winner is the player who manages to knock over the most blocks, if each player knocks over the same number of blocks after their three consecutive turns, a sudden death tie breaker must take place. The first person to fail to knock over all the blocks will lose.","[{'id': 8, 'name': 'Building block', 'count': 1}, {'id': 6, 'name': 'Tennis ball', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}]",241,3,"['Building block', 'Tennis ball', 'Other people']",2,human_many,241,463,446
aiming game,Taking turns to throw a paper ball.,"Each person takes turns to aim for either the mug, bowl, tray or trash can using the waste paper ball.",To gain the most points,"In the order of mug, bowl, trash can and tray, the points for throwing the paper ball in them is 4-1.","[{'id': 12, 'name': 'Trash can', 'count': 1}, {'id': 32, 'name': 'Cup', 'count': 1}, {'id': 21, 'name': 'Tray', 'count': 1}, {'id': 30, 'name': 'Bowl', 'count': 1}, {'id': 23, 'name': 'Waste paper ball', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}]",267,6,"['Trash can', 'Cup', 'Tray', 'Bowl', 'Waste paper ball', 'Other people']",0,human_many,267,560,542
stack,Stacking the building blocks as high as possible,The player will use the different shapes of building blocks to build a tower as high as possible until it toppples over.,To build a building as tall as possible,"Each time a building is made taller than the previous one, a point is gained.","[{'id': 8, 'name': 'Building block', 'count': 4}]",267,1,['Building block'],1,human_many,267,561,543
Running game,Taking turns running on the treadmill,"The number rolled on the dice determines how many minutes the each player runs on the treadmill for. The game continues on until gets so tired they cannot run anymore, and ends the game by sitting on the sofa.",To avoid sitting on the couch and continue running,"the person who loses gains 0 points and the person that doesn't sit on the sofa, gains 1 point","[{'id': 7, 'name': 'Treadmill', 'count': 1}, {'id': 4, 'name': 'Dice', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}, {'id': 19, 'name': 'Sofa', 'count': 1}]",267,4,"['Treadmill', 'Dice', 'Other people', 'Sofa']",2,human_many,267,562,544
