idx,PROLIFIC_PID,userSetting,model_name,temperature,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskOrder,TaskID,nObjects,ValidTaskID
3,7,dummy_many,gpt-4o-2024-08-06,1,Newspaper Abstract Art,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Pencil', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Kalimba', 'quantity': 1}]",Use the newspaper as a muse to sketch an abstract art piece in your notebook while listening to calm kalimba music for inspiration.,"Spread the newspaper on a desk to study its images and articles. Next to it, place the notebook and pencil. Listen to the calming sounds of the kalimba (played softly or via recording) to inspire your drawing process. Sketch your interpretation of the newspaper content in an abstract form.","The aim is to expressively transfer the newspaper's stories and imagery into an abstract sketch, leveraging the soothing kalimba audio as a musical muse.",Score based on both complexity (rate 1-5 on detail and effort) and original expression (1-5 based on uniqueness and creativity). Total possible score: 10 points.,"['Newspaper', 'Notebook', 'Kalimba', 'Pen']",2,11,4,11
4,8,human_many,gpt-4o-2024-08-06,1,Kalimba Melody Challenge,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","Create a melody using the Kalimba and transcribe it into the notebook. Share it with the other person, who attempts to recreate the tune.","Begin by improvising a brief melody on the Kalimba. Transcribe this melody in the notebook using simple notation or descriptions. Pass the notebook and kalimba to the other person, who will attempt to play the melody you created.",The goal is to accurately recreate the melody on the Kalimba using the transcribed notes and have the other person execute it as perfectly as possible.,Each correct note reproduced by the other person scores one point. Total points determine the similarity between the original and reproduced melody. Bonus points for creativity in transcription.,"['Kalimba', 'Notebook', 'Pen', 'Other people']",0,12,4,12
4,8,human_many,gpt-4o-2024-08-06,1,Chair Stack Race,"[{'name': 'Chair', 'quantity': 4}, {'name': 'Book', 'quantity': 5}]",Time yourself building a stable stack of 3 chairs and placing books on top without toppling the structure.,Arrange the chairs in a safe area where there is minimal risk of damage. Stack three chairs to create a structure and place the books one by one on top. Use the timer to record how long it takes to stack the books without falling over.,The objective is to stack the chairs and successfully balance the books on top without the stack collapsing.,"Points are given based on time taken and stability. Under 2 minutes warrants 10 points, stability (no wobbling or falling for 30 seconds) earns an extra 5 points.","['Chair', 'Book']",1,13,2,13
4,8,human_many,gpt-4o-2024-08-06,1,Waste Ball Precision Toss,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Desk', 'quantity': 1}]",Toss the waste paper ball from the desk into the trash can placed at increasing distances.,Place the waste paper ball on the desk. Position the trash can a few feet away. Try to toss the waste paper ball into the trash can. Increase the distance by moving the trash can further away after each successful toss.,Successfully toss the waste paper ball into the trash can from varying distances.,"Each successful toss at a new distance scores points proportional to distance. Start with 1 point for the closest distance, adding more points for each additional step back (e.g., 2 points for the next step). Maximize your score in a set number of throws.","['Waste paper ball', 'Trash can', 'Desk']",2,14,3,14
5,9,human_many,gpt-4o-2024-08-06,1,Kalimba Serenity Session,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}]",Engage in a calming and soul-soothing session by playing the kalimba while surrounded by natural and comfortable elements.,"Place the rug in a corner of the room, ensuring it's an area with adequate natural light. Sit comfortably on a pillow placed atop the rug. Position the potted plants around you to create a natural atmosphere. Hold the kalimba and begin playing gentle melodies.",The goal is to achieve a state of calmness and relaxation while also exploring melodic creativity using the kalimba.,"After the session, participants rate their relaxation level on a scale of 1-10 based on how refreshed and peaceful they feel. Additionally, they can rate their satisfaction with the melodies they created on a similar scale. The average of these two ratings determines the overall score.","['Kalimba', 'Pillow', 'Rug', 'Potted plants']",0,15,4,15
5,9,human_many,gpt-4o-2024-08-06,1,Book Worm Hunt,"[{'name': 'Book', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]","Choose a book, and dive deep into it to search for interesting quotes or ideas. Jot down notes or thoughts in the notebook.","Arrange the five books on a desk. Select one book to read. While reading, keep the pen and notebook handy to jot down intriguing quotes or insights that resonate with you.",The task aims to explore and reflect on new perspectives or knowledge gained from the chosen book.,"For every unique and thought-provoking quote or idea recorded, award 5 points. For each personal insight or reflection developed from these quotes, award an additional 10 points. The total score reflects the depth and engagement of the reading session.","['Book', 'Pen', 'Notebook']",1,16,3,16
5,9,human_many,gpt-4o-2024-08-06,1,Indoor Basket-Tennis Toss,"[{'name': 'Basketball', 'quantity': 1}, {'name': 'Tennis ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]",A fun and energetic indoor game that challenges participants to throw balls into a trash can from varying distances.,"Place the trash can against one wall as the target. Set a line at 3 different distances on the floor to serve as the throwing positions. Using both the basketball and tennis ball, take turns trying to get them into the trash can from each marked distance.",The objective is to successfully toss the basketball and tennis ball into the trash can from each distance.,Award 10 points for each successful toss into the trash can with the tennis ball and 5 points for each successful toss with the basketball due to its larger size. The player with the most points after completing throws from all distances wins.,"['Basketball', 'Tennis ball', 'Trash can']",2,17,3,17
6,10,human_few,gpt-4o-2024-08-06,1,Creative Writing Corner,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Sofa', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}]",Engage in an inventive writing exercise designed to explore creative thinking and personal expression. This task invites you to compose a short story while seated comfortably and surrounded by a calming environment.,"Settle into the sofa in a relaxed position, placing the notebook on your lap. Ensure the pen is in hand, ready for spontaneous inspiration. Arrange the potted plant nearby to create a serene and natural atmosphere for inspiration.","Craft a short story or narrative focusing on themes of self-transcendence, showcasing altruistic or universal values. The story should aim to be both innovative and expressive.","After completing the story, score it based on creativity and personal satisfaction on a scale of 1-10, considering aspects such as originality, emotional depth, and engagement of universal values.","['Notebook', 'Pen', 'Sofa', 'Potted plants']",0,18,4,18
6,10,human_few,gpt-4o-2024-08-06,1,Newspaper Reflection Challenge,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","This reflective exercise involves reading a newspaper article, considering multiple perspectives and deductions while noting your insights and emotional reactions.","Choose a comfortable chair, placing the newspaper on your lap and the pen in hand. Position the clock nearby to keep track of the time spent on reflection. Read through one article carefully, pausing to jot down your thoughts directly around the article or on the margins.","Critically analyze the article, focusing on personal and broader societal implications, considering diverse perspectives.","Assess your reflections on a scale from 1-10 based on depth of insight, diverse perspectives considered, and clarity of written reactions.","['Newspaper', 'Chair', 'Clock', 'Pen', 'Other people']",1,19,5,19
6,10,human_few,gpt-4o-2024-08-06,1,Zen Arrangement,"[{'name': 'Bowl', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","Become a temporary interior designer, arranging objects to create a peaceful and balanced display. This task focuses on creativity and personal tranquility through the art of arrangement.","Place the tray on a flat surface, such as the desk, arranging the bowl and potted plant artistically on it. Utilize the waste paper ball by reshaping it into a decorative piece, adding to the aesthetic value.","Create an arrangement that feels harmonious and balanced, providing a sense of calm and beauty in the room.","Evaluate the arrangement based on aesthetic appeal and personal satisfaction, scoring it from 1-10. You may also consider elements like balance, use of space, and how peaceful the setup makes you feel.","['Bowl', 'Tray', 'Potted plants', 'Waste paper ball', 'Other people']",2,20,5,20
7,11,human_few,gpt-4o-2024-08-06,1,Creative News Collage,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}]","Create a visually appealing collage by cutting out interesting headlines, images, or sections from the newspaper and arranging them creatively in the notebook.","Spread the newspaper across the desk and, using the pen, outline sections that capture your attention, whether due to images, text, or colors. Carefully cut these sections if accessible, and arrange them in the notebook to create a thematic story or mood board. Use the waste paper ball as a reference for getting creative with texture by crushing cutouts for added dimension.","The goal is to create an expressive piece that tells a story or illustrates a personal theme using newspaper cutouts, embracing exploration and self-expression.","Rate the collage based on creativity (1-10), clarity of theme (1-10), and personal satisfaction (1-10). Total score out of 30.","['Newspaper', 'Notebook', 'Pen', 'Waste paper ball']",0,21,4,21
7,11,human_few,gpt-4o-2024-08-06,1,Relaxing Stories Exchange,"[{'name': 'Book', 'quantity': 2}, {'name': 'Other people', 'quantity': 1}, {'name': 'Sofa', 'quantity': 1}]","Together with the other person, share short, intriguing stories from the books while relaxing on the sofa.","Both participants sit comfortably on the sofa, each with a book. Take turns reading or summarizing short excerpts or passages that excite or relax you. This involves intuitive selection based on the feeling you wish to convey.","The goal is not only to enjoy the literature but also to create a space for interaction and mutual enjoyment, fostering understanding and connection.",Each participant rates the engagingness and relaxation level of the passages shared out of 10. Average the scores for a final rating out of 20.,"['Book', 'Other people', 'Sofa']",1,22,3,22
7,11,human_few,gpt-4o-2024-08-06,1,Color Reflection Challenge,"[{'name': 'Paintings', 'quantity': 2}, {'name': 'Potted plants', 'quantity': 1}, {'name': 'Chair', 'quantity': 2}]","Contemplate the paintings and reflect on their colors and moods, using the plants as a catalyst for natural inspiration.","Place the paintings and the potted plant where they can be easily viewed while sitting in the chairs. Sit opposite each other, focusing on how the colors in the paintings and the plant's natural tones influence your thoughts and feelings.","To practice mindfulness through art appreciation and nature, heightening awareness and promoting a serene atmosphere.","After reflection, each participant rates their experience on aspects like insightfulness (1-10) and tranquility (1-10). Combine scores for a total out of 20.","['Paintings', 'Potted plants', 'Chair']",2,23,3,23
8,17,human_many,gpt-4o-2024-08-06,1,Plant Meditation,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]",This task involves a meditative session focused on observing and connecting with the potted plant to enhance calmness and environmental awareness.,"Place the potted plant in front of the rug. Sit comfortably on the rug in front of the plant. Take deep breaths and observe the plant's details, imagining its growth process and environmental contribution.",The goal is to achieve a heightened state of relaxation and environmental connection by spending 10-15 minutes focusing on the plant.,Rate the sense of relaxation and connectedness on a scale from 1 (not relaxed or connected) to 10 (extremely relaxed and connected).,"['Potted plants', 'Rug']",0,24,2,24
8,17,human_many,gpt-4o-2024-08-06,1,Building Block Challenge,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Desk', 'quantity': 1}]","Use building blocks to create a structure, exercising creativity and precision in design.",Sit at the desk with the building blocks in front of you. Spend 15 minutes constructing a unique structure using all of the blocks. Consider stability and originality of your creation.,The goal is to construct a stable and creative structure using all five blocks.,"Evaluate your structure based on stability (scale 1-5), aesthetics (scale 1-5), and creativity (scale 1-5). A maximum total score of 15 is possible.","['Building block', 'Desk']",1,25,2,25
8,17,human_many,gpt-4o-2024-08-06,1,Word Jumble with Newspaper,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Create a list of new words using letters clipped from headlines of the newspaper.,Scan the newspaper headlines and write down as many new words as possible into the notebook using the letters from those headlines. Use the pen to jot them down clearly.,The goal is to explore vocabulary and expand linguistic creativity by forming as many distinct words as possible.,Each unique word with a minimum length of three letters counts for 1 point. Tally the words at the end of the session for the final score.,"['Newspaper', 'Notebook', 'Pen']",2,26,3,26
8,17,human_many,gpt-4o-2024-08-06,1,Morning Calisthenics,"[{'name': 'Treadmill', 'quantity': 1}]",A brief calisthenics session on the treadmill to boost energy levels and physical fitness.,Set up the treadmill for use and spend 15 minutes performing light to moderate walking or jogging. Focus on maintaining a consistent pace and breathing rhythm for the entire duration.,The goal is to increase energy and mood by actively engaging in exercise.,"Measure the mood improvement on completion of the session, using a scale from 1 (no improvement) to 10 (maximum improvement), noting changes in mood and energy.",['Treadmill'],3,27,1,27
9,21,dummy_few,gpt-4o-2024-08-06,1,Plant Poetry,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Potted plant', 'quantity': 1}]",Engage your creative and reflective side by writing poetry inspired by the potted plant.,"Sit comfortably at a desk. Place the potted plant in front of you where it's easily visible. Open the notebook and use the pen to write poetry that captures the essence, beauty, or meaning of the plant.",The goal is to create a single poem that effectively conveys your thoughts or feelings about the plant.,"Rate your poem on a scale from 1 to 10 based on creativity, personal satisfaction, and how well it reflects the plant��s inspiration.","['Notebook', 'Pen', 'Potted plants']",0,28,3,28
9,21,dummy_few,gpt-4o-2024-08-06,1,Book Balancing Challenge,"[{'name': 'Book', 'quantity': 3}, {'name': 'Chair', 'quantity': 1}]",Test your balance and concentration by balancing books on your head.,Sit or stand in a spacious area of the room. Stack three books carefully on top of your head while maintaining your posture.,Balance the books for the longest duration without letting them fall.,"Award yourself 1 point for every 10 seconds you manage to keep the books balanced, up to a maximum of 10 points.","['Book', 'Chair']",1,29,2,29
9,21,dummy_few,gpt-4o-2024-08-06,1,Newspaper Story Puzzle,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}]",Create a fun storytelling challenge by using words from newspaper snippets.,"Place the newspaper on the tray. Tear or cut out random words from the newspaper and place them into the tray. Shuffle the tray, then select words at random to form a short, coherent story.",Construct a creative and interesting story using at least 10 selected words from the tray.,"Rate the story on a scale of 1-10 based on creativity, complexity, and personal enjoyment of the story.","['Newspaper', 'Waste paper ball', 'Tray']",2,30,3,30
10,32,human_few,gpt-4o-2024-08-06,1,Plant Pot Design Challenge,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Bowl', 'quantity': 2}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]",Design a creative arrangement for the potted plant using bowls and note down design ideas.,"Place the potted plant on the center of a desk. Position the two bowls around it creatively to form an engaging visual setup. Use the pen and notebook to brainstorm and sketch different arrangement ideas, considering aesthetics and functionality.","The task is to come up with an innovative, visually appealing design concept for the plant setup using the available items.","Rate each design on a scale of 1-10 based on creativity, uniqueness, and practicality. Additional points can be given for how well the arrangement complements the existing room decor.","['Potted plants', 'Bowl', 'Pen', 'Notebook']",0,31,4,31
10,32,human_few,gpt-4o-2024-08-06,1,Tea Time Conversation,"[{'name': 'Kettle', 'quantity': 1}, {'name': 'Cup', 'quantity': 2}, {'name': 'Other people', 'quantity': 1}]",Engage in a meaningful conversation over a warm cup of tea.,"Fill the kettle with water and heat it using a presumed electricity supply. Once the water is boiled, pour it into the two cups, offering one to your conversation partner. Sit comfortably, perhaps on the sofa or chairs, and discuss a chosen topic that promotes well-being or broadens perspectives.","The goal is to connect with the other person, sharing ideas and gaining new insights through conversation.","Post-conversation, both participants can score the interaction on a scale of 1-10 based on the depth and engagement of the conversation. Additional points can be awarded for new insights gained or positive emotional impact.","['Kettle', 'Cup', 'Other people']",1,32,3,32
10,32,human_few,gpt-4o-2024-08-06,1,Book Review Exchange,"[{'name': 'Book', 'quantity': 3}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","Choose a book each, read passages, and exchange brief reviews or thoughts.",Select three different books. You and the other person pick one book each to read passages from. Discuss key points and internalize different interpretations. Record thoughts or highlighted passages in the notebook.,"Share and exchange perspectives and interpretations of different books, enriching understanding and promoting intellectual growth.","Each participant scores the session on a scale from 1-10 based on engagement and takeaway value. Points can be awarded for novel interpretations, shared understanding, and depth of discussion.","['Book', 'Notebook', 'Pen', 'Other people']",2,33,4,33
11,33,human_few,gpt-4o-2024-08-06,1,Creative Writing Challenge,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}]",Engage in a creative writing exercise where you'll craft a short story or piece of reflective writing within a set time frame.,Sit comfortably at one of the desks with the notebook open and pen ready. Set the clock to signal every 10 minutes to track time intervals. Use this time for dedicated writing sessions with brief breaks in between for reflection.,The goal is to express creativity through writing and complete a coherent narrative or essay within an hour.,"Assign points based on three criteria: Creativity (1-10), Coherence (1-10), and Personal Enjoyment (1-10). Additional points can be given for incorporating novel ideas or perspectives.","['Notebook', 'Pen', 'Clock']",0,34,3,34
11,33,human_few,gpt-4o-2024-08-06,1,Plant Care Reflection,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Spend time caring for the potted plant while reflecting on personal growth and conservation.,"Start by tending to the plant��potentially trimming, watering, or rotating it to catch the light more effectively. While doing so, have the notebook ready to jot down thoughts and reflections about personal growth, environmental care, and connections to life events.",To foster a sense of responsibility and connection with nature while using this as an opportunity for introspection and journaling about self-growth and conservation values.,"Score based on Depth of Reflection (1-10), Care Quality (Quantitative measure of plant's health improvement, 1-5), and Personal Satisfaction (1-10).","['Potted plants', 'Notebook', 'Pen']",1,35,3,35
11,33,human_few,gpt-4o-2024-08-06,1,Silent Socratic Dialogue,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Book', 'quantity': 2}, {'name': 'Sofa', 'quantity': 1}]",Engage in a silent reading dialogue exercise that stimulates thought and insight by exploring different perspectives.,"Sit comfortably on the sofa with the selected book and newspaper. Alternate between reading passages from the book and relevant articles from the newspaper. After each section, spend a few minutes internally debating the ideas presented.",To seek understanding and insight on a chosen topic by synthesizing information from two different sources.,"Evaluate Insight Gained (1-10), Quality of Internal Debate (1-5), and Variety of Perspectives Considered (1-5).","['Newspaper', 'Book', 'Sofa']",2,36,3,36
12,37,human_many,gpt-4o-2024-08-06,1,Creative Block Construction,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Desk', 'quantity': 1}]","Using building blocks, construct a small structure or design and then sketch it in a notebook, imagining the design in an expanded environment.","Place the building blocks on the desk. Use the pen and notebook to first draft a plan of what you want to build. Manipulate and connect the blocks on the desk as per your planned design, and once completed, sketch the final structure in the notebook adding creative backgrounds and environments.",The aim is to utilize creativity and logic to construct a block design and visualize it in a larger context.,"Award 1 point for each creative element included in the sketch beyond the basic blocks (e.g., textures, imaginative settings). Maximum score of 10 points.","['Building block', 'Notebook', 'Pen', 'Desk']",0,37,4,37
12,37,human_many,gpt-4o-2024-08-06,1,Collaborative Chess Challenge,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Play a chess game with a focus on teaching each other new strategies as you play.,"Set up the chessboard on a table. Sit opposite the other person, taking turns to move pieces. As each player makes a move, they must explain the strategic thinking behind it, offering tips or reflections on the game's progress.",To win the game or learn at least one new strategy you hadn't thought of before.,"Winning the game earns 5 points. Learning a new strategy that you can explain gains 2 additional points. If both win and learn something new, total 10 points.","['Chess board&pieces', 'Other people']",1,38,2,38
12,37,human_many,gpt-4o-2024-08-06,1,Treadmill Fitness Relay,"[{'name': 'Treadmill', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}]","Engage in a treadmill walking or running session, testing your stamina and pacing abilities within a set timeframe.",Set the treadmill at a comfortable speed. Use the clock to time yourself for a 20-minute session. Focus on maintaining a steady pace or gradually increasing speed if preferred.,The objective is to complete the 20-minute session while monitoring energy levels and adjusting speed as necessary.,"Score 1 point for every minute completed without needing to pause. Bonus 2 points for each speed increment achieved during the session, up to a maximum of 10 points.","['Treadmill', 'Clock']",2,39,2,39
12,37,human_many,gpt-4o-2024-08-06,1,Kalimba Melody Creation,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Compose a short melody on the Kalimba and transcribe the notes onto paper.,"Sit comfortably with the Kalimba. Begin by experimenting with sounds, then perform a repeated sequence to create a simple melody. Use the notebook and pen to jot down the sequence of notes.",Create and document a melody of at least six distinct notes.,"Award 1 point for each distinct note used in the melody. The transcription accuracy (if it matches playback) grants an additional 2 points, maximum total of 10 points.","['Kalimba', 'Notebook', 'Pen']",3,40,3,40
